group,transcript,layer,frac_live_p,median_log_p,median_contrast,n_unmasked_p,n_unmasked_c
clean,101_INTERROGATION_0,0,0.0,4.444481018583335,0.11734904821726566,644,644
clean,101_INTERROGATION_0,1,0.0,4.497012589146097,0.1698579135406839,644,644
clean,101_INTERROGATION_0,2,0.0,4.468716470512287,0.2141456574181042,644,644
clean,101_INTERROGATION_0,3,0.0,4.401023377611707,0.27560451113071993,644,644
clean,101_INTERROGATION_0,4,0.0,4.3942502326345085,0.2369570935346501,644,644
clean,101_INTERROGATION_0,5,0.0,4.423408955273731,0.2734879933683845,644,644
clean,101_INTERROGATION_0,6,0.0,4.368760892376409,0.2736528488927077,644,644
clean,101_INTERROGATION_0,7,0.0,4.431845638818972,0.23896984330043924,644,644
clean,101_INTERROGATION_0,8,0.0,4.535281446398188,0.1970535256305599,644,644
clean,101_INTERROGATION_0,9,0.0,4.540166566882938,0.20197149064945208,644,644
clean,101_INTERROGATION_0,10,0.0,4.5817157301623945,0.20681694037941245,644,644
clean,101_INTERROGATION_0,11,0.0,4.657270953996171,0.15628138213556264,644,644
clean,101_INTERROGATION_0,12,0.0,4.674452161386765,0.18168291186293084,644,644
clean,101_INTERROGATION_0,13,0.0,4.639275695130285,0.17803108001632229,644,644
clean,101_INTERROGATION_0,14,0.0,4.658535990703452,0.16654863007571796,644,644
clean,101_INTERROGATION_0,15,0.0,4.656542828026814,0.15873793266714875,644,644
clean,101_INTERROGATION_0,16,0.0,4.611988646076947,0.20151353031753816,644,644
clean,101_INTERROGATION_0,17,0.0,4.6204499207293726,0.17590829484360215,644,644
clean,101_INTERROGATION_0,18,0.0,4.712624418587879,0.1350753700299352,644,644
clean,101_INTERROGATION_0,19,0.0,4.544179627585514,0.23343684815050647,644,644
clean,101_INTERROGATION_0,20,0.0,4.522026673191261,0.2308974629083127,644,644
clean,101_INTERROGATION_0,21,0.0015527950310559005,4.4528335557892245,0.32556079901983725,644,644
clean,101_INTERROGATION_0,22,0.0,4.377552019954777,0.3614091922078577,644,644
clean,101_INTERROGATION_0,23,0.0,4.370068472681799,0.3085403002259972,644,644
clean,101_INTERROGATION_0,24,0.0,4.363874962213556,0.2984229199651942,644,644
clean,101_INTERROGATION_0,25,0.0,4.37334146373459,0.28930610435886805,644,644
